wall_time,step,value
1739282881.71558,444708864,-25.500720977783203
1739282891.713928,444966912,-26.26079559326172
1739282903.5427144,445218816,-25.18415069580078
1739282911.7162268,445428736,-26.600055694580078
1739282921.7172155,445688832,-26.35700225830078
1739282931.715618,445944832,-26.490318298339844
1739282941.716308,446158848,-26.04080581665039
1739282951.7166374,446413824,-27.91196632385254
1739282961.7155402,446670848,-25.496339797973633
1739282971.8315206,446881792,-25.442501068115234
1739282981.7157638,447135744,-26.73367691040039
1739282991.7173045,447391744,-27.284648895263672
1739283001.7156386,447656960,-26.037334442138672
1739283011.71664,447862784,-25.31655502319336
1739283021.7163336,448123904,-26.33211898803711
1739283031.7188559,448376832,-25.472049713134766
1739283041.716241,448584704,-26.162479400634766
1739283051.7169087,448842752,-27.25278091430664
1739283061.7159822,449095680,-26.65467643737793
1739283071.716562,449347584,-26.797069549560547
1739283081.7181902,449549312,-25.604894638061523
1739283091.716668,449807360,-25.4759464263916
1739283101.7159882,450062336,-25.952930450439453
1739283111.7172515,450262016,-27.703109741210938
1739283121.7149565,450520064,-26.675138473510742
1739283131.717134,450775040,-23.943965911865234
1739283142.514796,451005440,-27.709306716918945
1739283151.7153003,451244032,-25.970613479614258
1739283161.7157571,451499008,-26.479793548583984
1739283171.7154155,451750912,-25.316650390625
1739283181.7162907,451954688,-26.666749954223633
1739283191.724967,452210688,-25.672767639160156
1739283201.716755,452467712,-27.48388671875
1739283211.716064,452674560,-26.218231201171875
1739283221.7153013,452930560,-24.750669479370117
1739283231.7157683,453192704,-26.384965896606445
1739283241.7182066,453445632,-24.89813232421875
1739283251.7159936,453653504,-27.162763595581055
1739283261.7167966,453919744,-25.64531707763672
1739283271.717522,454175744,-25.24117660522461
1739283281.7187011,454385664,-25.26805305480957
1739283291.7153661,454641664,-26.65241241455078
1739283301.7168367,454903808,-25.05721664428711
1739283313.1489966,455148544,-26.393648147583008
1739283321.7168415,455367680,-25.839824676513672
1739283331.7165024,455628800,-27.331470489501953
1739283341.7165158,455886848,-26.346323013305664
1739283351.7152338,456095744,-25.771724700927734
1739283361.714991,456354816,-25.377826690673828
1739283371.7154813,456617984,-25.719249725341797
1739283381.716164,456822784,-25.682594299316406
1739283391.718366,457067520,-25.757164001464844
1739283401.7161393,457333760,-26.837722778320312
1739283411.7158833,457591808,-25.65350914001465
1739283421.7163646,457779200,-25.64430046081543
1739283431.7164237,458045440,-26.917306900024414
1739283441.7164488,458304512,-25.529985427856445
1739283451.7157373,458502144,-26.539627075195312
1739283461.716769,458725376,-25.667896270751953
1739283471.7164876,458988544,-26.56644058227539
1739283481.7167141,459245568,-25.59174156188965
1739283491.7159774,459444224,-26.165111541748047
1739283501.7160604,459703296,-27.919330596923828
1739283511.7156985,459967488,-26.71211051940918
1739283521.7171626,460167168,-25.651248931884766
1739283531.7170851,460426240,-26.61489486694336
1739283541.7152598,460687360,-26.81932258605957
1739283552.7122664,460915712,-28.105674743652344
1739283561.7156854,461143040,-26.29452896118164
1739283571.7152538,461388800,-26.020832061767578
1739283581.7167685,461617152,-25.465431213378906
1739283591.7159376,461809664,-26.321258544921875
1739283601.71591,462060544,-27.932939529418945
1739283611.7168937,462318592,-27.495988845825195
1739283621.715829,462521344,-27.849119186401367
1739283631.7174025,462775296,-28.066003799438477
1739283641.7167778,463041536,-26.838764190673828
1739283651.7158334,463300608,-27.244163513183594
1739283661.7159564,463506432,-27.28021812438965
1739283671.716993,463773696,-27.63236427307129
1739283681.716363,464033792,-26.485889434814453
1739283691.7152014,464240640,-26.516263961791992
1739283701.7172582,464507904,-27.950868606567383
1739283711.7153983,464766976,-26.60026741027832
1739283723.5618796,465017856,-26.032777786254883
1739283731.7159555,465224704,-27.606698989868164
1739283741.718889,465483776,-27.14082908630371
1739283751.7160997,465738752,-26.454103469848633
1739283761.7164912,465939456,-26.822973251342773
1739283771.716827,466200576,-28.661340713500977
1739283781.7162392,466456576,-27.560331344604492
1739283791.742839,466657280,-26.94991111755371
1739283801.7165864,466912256,-29.258750915527344
1739283811.7158985,467168256,-28.36179542541504
1739283821.7162058,467416064,-27.68144989013672
1739283831.715238,467618816,-28.600683212280273
1739283841.715711,467878912,-27.268043518066406
1739283851.7175107,468131840,-28.875776290893555
1739283861.7168849,468329472,-28.788063049316406
1739283871.716373,468595712,-26.781448364257812
1739283881.7168317,468856832,-27.912933349609375
1739283891.71651,469101568,-27.12889862060547
1739283901.716814,469302272,-28.48732566833496
1739283911.7160876,469559296,-28.280324935913086
1739283921.7171276,469814272,-28.36115264892578
1739283931.7158375,470029312,-27.976953506469727
1739283941.7154365,470282240,-28.2525691986084
1739283951.717353,470535168,-29.277902603149414
1739283961.7178414,470748160,-27.496967315673828
1739283971.717701,471003136,-28.321563720703125
1739283981.7152267,471262208,-27.592620849609375
1739283991.7163024,471520256,-27.50645637512207
1739284001.7163112,471735296,-29.043956756591797
1739284011.7165523,471997440,-26.703527450561523
1739284021.7165065,472254464,-27.819076538085938
1739284031.7175078,472456192,-28.868730545043945
1739284041.7184162,472717312,-26.026588439941406
1739284051.716242,472981504,-27.131357192993164
1739284063.5163257,473227264,-27.338735580444336
1739284071.7164857,473441280,-27.600570678710938
1739284081.7186422,473702400,-29.27302360534668
1739284091.7167044,473955328,-29.096895217895508
1739284101.7150702,474155008,-27.467016220092773
1739284111.7157018,474417152,-26.25719451904297
1739284121.7167222,474673152,-28.128393173217773
1739284131.7183287,474869760,-29.264848709106445
1739284141.7159824,475122688,-27.104572296142578
1739284151.715969,475381760,-28.39129066467285
1739284161.7176082,475627520,-27.805246353149414
1739284171.7186234,475828224,-26.11207389831543
1739284181.7158518,476089344,-26.404592514038086
1739284191.719321,476347392,-29.3875789642334
1739284201.7170472,476542976,-28.242412567138672
1739284211.7155244,476797952,-28.18600082397461
1739284221.7163112,477051904,-28.988977432250977
1739284231.7180142,477289472,-30.058685302734375
1739284241.7160108,477490176,-29.25404167175293
1739284251.7155085,477743104,-28.24464988708496
1739284261.7188177,477984768,-28.314102172851562
1739284271.718803,478175232,-27.041521072387695
1739284281.716236,478423040,-27.411291122436523
1739284291.71689,478667776,-27.714210510253906
1739284302.0336826,478862336,-26.71483612060547
1739284311.7171412,479094784,-27.18436622619629
1739284321.717423,479345664,-28.23834991455078
1739284331.717163,479588352,-27.35163688659668
1739284341.7183282,479776768,-28.51495933532715
1739284351.7160132,480020480,-28.69451332092285
1739284361.7162428,480265216,-28.445070266723633
1739284371.717658,480466944,-27.403573989868164
1739284381.716314,480710656,-27.343154907226562
1739284391.7161567,480956416,-30.777050018310547
1739284401.716154,481202176,-27.209529876708984
1739284411.7158206,481397760,-30.612171173095703
1739284421.7181172,481629184,-28.156553268432617
1739284431.7165587,481862656,-29.749582290649414
1739284441.7174587,482046976,-28.624969482421875
1739284451.7164614,482279424,-28.681522369384766
1739284461.717724,482509824,-29.38680076599121
1739284472.792604,482727936,-30.174840927124023
1739284481.7163641,482935808,-28.667287826538086
1739284491.715209,483168256,-29.618209838867188
1739284501.7163525,483400704,-26.99034881591797
1739284511.7177958,483588096,-29.913055419921875
1739284521.7176318,483818496,-29.672021865844727
1739284531.716867,484059136,-27.876903533935547
1739284541.7164779,484251648,-29.091230392456055
1739284551.7157354,484493312,-29.572463989257812
1739284561.7175326,484737024,-28.062246322631836
1739284571.7165222,484977664,-30.151500701904297
1739284581.716458,485172224,-29.533626556396484
1739284591.717567,485419008,-29.487524032592773
1739284601.7165258,485662720,-28.62911033630371
1739284611.7166324,485859328,-28.89641571044922
1739284621.716311,486103040,-28.187915802001953
1739284631.7175324,486349824,-30.839876174926758
1739284643.470366,486591488,-30.720975875854492
1739284651.71667,486784000,-29.363706588745117
1739284661.7167609,487034880,-31.10724449157715
1739284671.7158318,487278592,-29.77660369873047
1739284681.7163625,487473152,-30.727893829345703
1739284691.7161055,487719936,-28.747343063354492
1739284701.7200258,487962624,-28.16029930114746
1739284711.8045259,488159232,-29.381874084472656
1739284721.7172058,488399872,-28.908018112182617
1739284731.7171168,488644608,-29.685571670532227
1739284741.7157936,488888320,-28.571645736694336
1739284751.7162335,489077760,-28.103782653808594
1739284761.717865,489323520,-28.97370719909668
1739284771.7172606,489570304,-29.416566848754883
1739284781.715895,489767936,-28.642335891723633
1739284791.71671,490012672,-29.156644821166992
1739284801.717173,490256384,-30.43627166748047
1739284811.716639,490498048,-28.13466453552246
1739284821.7165945,490691584,-27.06485366821289
1739284831.7167363,490936320,-28.097448348999023
1739284841.7173815,491172864,-29.461822509765625
1739284851.7157304,491359232,-30.043676376342773
1739284861.716502,491593728,-28.971261978149414
1739284871.7168922,491835392,-28.766700744628906
1739284882.6527338,492052480,-29.564035415649414
1739284891.718686,492269568,-29.937320709228516
1739284901.716645,492512256,-28.280696868896484
1739284911.7165298,492759040,-29.6312313079834
1739284921.7183762,492956672,-29.114160537719727
1739284931.7161293,493205504,-29.17363166809082
1739284941.7153122,493454336,-29.92379379272461
1739284951.714931,493656064,-29.406885147094727
1739284961.7168975,493905920,-31.537761688232422
1739284971.7160738,494151680,-28.31584358215332
1739284981.715413,494394368,-27.757326126098633
1739284991.7161338,494592000,-29.25303840637207
1739285001.7166097,494834688,-29.820850372314453
1739285011.71743,495083520,-29.893003463745117
1739285021.7175972,495280128,-30.331314086914062
1739285031.7180126,495525888,-31.310630798339844
1739285041.715983,495767552,-30.44835662841797
1739285053.3310564,496006144,-30.61432647705078
1739285061.7183394,496215040,-29.610803604125977
1739285071.7171507,496461824,-29.4986629486084
1739285081.7157056,496708608,-29.776092529296875
1739285091.7160425,496910336,-31.595518112182617
1739285101.7178233,497156096,-31.813920974731445
1739285111.716406,497402880,-28.26958465576172
1739285121.715729,497599488,-31.593341827392578
1739285131.7159116,497850368,-28.878009796142578
1739285141.7186346,498097152,-28.254703521728516
1739285151.7159734,498341888,-28.1449031829834
1739285161.716742,498536448,-30.591636657714844
1739285171.71699,498786304,-28.260026931762695
1739285181.7161841,499035136,-29.6544189453125
1739285191.7209094,499232768,-31.040756225585938
1739285201.7178962,499480576,-29.90222930908203
1739285211.7169774,499727360,-31.25881576538086
1739285221.7167392,499973120,-30.751569747924805
1739285231.7176783,500184064,-27.968673706054688
1739285241.7175274,500431872,-29.085433959960938
1739285251.7171946,500682752,-29.792850494384766
1739285261.7153125,500879360,-28.228160858154297
1739285271.7183475,501127168,-30.12234878540039
1739285281.7159355,501373952,-29.27132797241211
1739285292.4605713,501595136,-31.46998405456543
1739285301.7165234,501819392,-29.52273941040039
1739285311.7161593,502066176,-30.66028594970703
1739285321.7171836,502313984,-31.06568145751953
1739285331.7168245,502521856,-28.582185745239258
1739285341.7183306,502770688,-29.962326049804688
1739285351.7150297,503018496,-30.38814926147461
1739285361.715968,503215104,-31.609800338745117
1739285371.7153234,503461888,-28.857370376586914
1739285381.7170742,503705600,-29.423437118530273
1739285391.716383,503949312,-29.80731964111328
1739285401.7166424,504150016,-30.351715087890625
1739285411.7164843,504389632,-29.672258377075195
1739285421.7156699,504641536,-30.94429588317871
1739285431.716516,504840192,-30.526817321777344
1739285441.7165573,505090048,-28.962350845336914
1739285451.716971,505338880,-30.059782028198242
1739285462.9678526,505564160,-29.534103393554688
1739285471.7163808,505773056,-31.026723861694336
1739285481.718788,506018816,-31.084638595581055
1739285491.7168803,506265600,-28.57271957397461
1739285501.71699,506465280,-29.240859985351562
1739285511.71621,506712064,-30.49646759033203
1739285521.7171907,506959872,-29.870664596557617
1739285531.7165139,507155456,-29.984901428222656
1739285541.716182,507398144,-29.776731491088867
1739285551.7203574,507644928,-31.366544723510742
1739285561.7168458,507894784,-28.675975799560547
1739285571.7165713,508093440,-29.555957794189453
1739285581.715898,508342272,-29.07674789428711
1739285591.7171907,508589056,-30.932151794433594
1739285601.7160614,508784640,-30.298614501953125
1739285611.7175872,509026304,-31.10866928100586
1739285621.7169852,509272064,-29.958763122558594
1739285631.7173586,509514752,-30.750986099243164
1739285641.7159853,509709312,-29.294883728027344
1739285651.7167656,509961216,-30.14312171936035
1739285661.7155225,510206976,-30.532014846801758
1739285671.7179134,510403584,-29.90244483947754
1739285681.7162442,510653440,-30.38791275024414
1739285691.7166612,510900224,-31.920269012451172
1739285701.9812882,511108096,-29.538631439208984
1739285711.7160788,511344640,-31.000118255615234
1739285721.7174635,511594496,-30.64619255065918
1739285731.7164183,511837184,-29.885482788085938
1739285741.7168632,512030720,-29.091209411621094
1739285751.7167997,512274432,-31.86860466003418
1739285761.7174132,512523264,-31.069913864135742
1739285771.7167578,512719872,-31.37395477294922
1739285781.7160056,512952320,-28.734100341796875
1739285791.7168417,513207296,-30.120267868041992
1739285801.7186325,513456128,-31.503435134887695
1739285811.71589,513649664,-29.121931076049805
1739285821.7161214,513906688,-31.22637939453125
1739285831.7174923,514155520,-30.96063804626465
1739285841.716847,514345984,-31.362960815429688
1739285851.7159216,514588672,-30.174583435058594
1739285861.7155645,514829312,-31.959640502929688
1739285871.7164671,515044352,-30.669164657592773
1739285881.7162554,515281920,-29.48004913330078
1739285891.7155817,515515392,-32.06395721435547
1739285901.717079,515749888,-30.660015106201172
1739285911.7176876,515969024,-29.43573570251465
1739285921.7168386,516208640,-31.19821548461914
1739285931.716672,516444160,-31.692922592163086
1739285941.716592,516666368,-31.904390335083008
1739285951.7171557,516903936,-29.944149017333984
1739285961.718014,517139456,-30.930686950683594
1739285971.7185385,517358592,-30.390846252441406
